district,M_0_299_DS_DS_Sept_house_n,M_0_299_DS_DS_Sept_house_pc,M_0_299_DS_DS_sd_row_tce_hs_t_n,M_0_299_DS_DS_sd_row_tce_hs_t_pc,M_0_299_DS_DS_Flat_apart_n,M_0_299_DS_DS_Flat_apart_pc,M_0_299_DS_DS_Other_dwg_n,M_0_299_DS_DS_Other_dwg_pc,M_0_299_DS_ns_n,M_0_299_DS_ns_pc,M_0_299_Tot_n,M_0_299_Tot_pc,M_300_449_DS_Separate_hse_n,M_300_449_DS_Separate_hse_pc,M_300_449_DS_sd_row_tc_hse_th_n,M_300_449_DS_sd_row_tc_hse_th_pc,M_300_449_DS_Flat_apart_n,M_300_449_DS_Flat_apart_pc,M_300_449_DS_Other_dwg_n,M_300_449_DS_Other_dwg_pc,M_300_449_DS_ns_n,M_300_449_DS_ns_pc,M_300_449_Tot_n,M_300_449_Tot_pc,M_450_599_DS_Separate_hse_n,M_450_599_DS_Separate_hse_pc,M_450_599_DS_sd_row_tce_hs_th_n,M_450_599_DS_sd_row_tce_hs_th_pc,M_450_599_DS_Flat_apart_n,M_450_599_DS_Flat_apart_pc,M_450_599_DS_Other_dwg_n,M_450_599_DS_Other_dwg_pc,M_450_599_DS_ns_n,M_450_599_DS_ns_pc,M_450_599_Tot_n,M_450_599_Tot_pc,M_600_799_DS_Separate_hse_n,M_600_799_DS_Separate_hse_pc,M_600_799_DS_sd_row_tc_hs_th_n,M_600_799_DS_sd_row_tc_hs_th_pc,M_600_799_DS_Flat_apart_n,M_600_799_DS_Flat_apart_pc,M_600_799_DS_Other_dwg_n,M_600_799_DS_Other_dwg_pc,M_600_799_DS_ns_n,M_600_799_DS_ns_pc,M_600_799_Tot_n,M_600_799_Tot_pc,M_800_999_DS_Separate_hse_n,M_800_999_DS_Separate_hse_pc,M_800_999_DS_sd_row_tc_hs_th_n,M_800_999_DS_sd_row_tc_hs_th_pc,M_800_999_DS_Flat_apart_n,M_800_999_DS_Flat_apart_pc,M_800_999_DS_Other_dwg_n,M_800_999_DS_Other_dwg_pc,M_800_999_DS_ns_n,M_800_999_DS_ns_pc,M_800_999_Tot_n,M_800_999_Tot_pc,M_1000_1399_DS_Separate_hse_n,M_1000_1399_DS_Separate_hse_pc,M_1000_1399_DS_sd_rw_tc_h_th_n,M_1000_1399_DS_sd_rw_tc_h_th_pc,M_1000_1399_DS_Flat_apart_n,M_1000_1399_DS_Flat_apart_pc,M_1000_1399_DS_Other_dwg_n,M_1000_1399_DS_Other_dwg_pc,M_1000_1399_DS_ns_n,M_1000_1399_DS_ns_pc,M_1000_1399_Tot_n,M_1000_1399_Tot_pc,M_1400_1799_DS_Separate_hse_n,M_1400_1799_DS_Separate_hse_pc,M_1400_1799_DS_sd_rw_tc_h_th_n,M_1400_1799_DS_sd_rw_tc_h_th_pc,M_1400_1799_DS_Flat_apart_n,M_1400_1799_DS_Flat_apart_pc,M_1400_1799_DS_Other_dwg_n,M_1400_1799_DS_Other_dwg_pc,M_1400_1799_DS_ns_n,M_1400_1799_DS_ns_pc,M_1400_1799_Tot_n,M_1400_1799_Tot_pc,M_1800_2399_DS_Separate_hse_n,M_1800_2399_DS_Separate_hse_pc,M_1800_2399_DS_sd_rw_tc_h_th_n,M_1800_2399_DS_sd_rw_tc_h_th_pc,M_1800_2399_DS_Flat_apart_n,M_1800_2399_DS_Flat_apart_pc,M_1800_2399_DS_Other_dwg_n,M_1800_2399_DS_Other_dwg_pc,M_1800_2399_DS_ns_n,M_1800_2399_DS_ns_pc,M_1800_2399_Tot_n,M_1800_2399_Tot_pc,M_2400_2999_DS_Separate_hse_n,M_2400_2999_DS_Separate_hse_pc,M_2400_2999_DS_sd_rw_tc_h_th_n,M_2400_2999_DS_sd_rw_tc_h_th_pc,M_2400_2999_DS_Flat_apart_n,M_2400_2999_DS_Flat_apart_pc,M_2400_2999_DS_Other_dwg_n,M_2400_2999_DS_Other_dwg_pc,M_2400_2999_DS_ns_n,M_2400_2999_DS_ns_pc,M_2400_2999_Tot_n,M_2400_2999_Tot_pc,M_3000_3999_DS_Separate_hse_n,M_3000_3999_DS_Separate_hse_pc,M_3000_3999_DS_sd_rw_tc_h_th_n,M_3000_3999_DS_sd_rw_tc_h_th_pc,M_3000_3999_DS_Flt_apart_n,M_3000_3999_DS_Flt_apart_pc,M_3000_3999_DS_Other_dwg_n,M_3000_3999_DS_Other_dwg_pc,M_3000_3999_DS_ns_n,M_3000_3999_DS_ns_pc,M_3000_3999_Tot_n,M_3000_3999_Tot_pc,M_4000_over_DS_Separate_hse_n,M_4000_over_DS_Separate_hse_pc,M_4000_ov_DS_sd_rw_tce_hs_th_n,M_4000_ov_DS_sd_rw_tce_hs_th_pc,M_4000_over_DS_Flat_apart_n,M_4000_over_DS_Flat_apart_pc,M_4000_over_DS_Other_dwg_n,M_4000_over_DS_Other_dwg_pc,M_4000_DS_over_ns_n,M_4000_DS_over_ns_pc,M_4000_over_Tot_n,M_4000_over_Tot_pc,Mort_Rpmnt_ns_DS_Separat_hs_n,Mort_Rpmnt_ns_DS_Separat_hs_pc,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th_n,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th_pc,Mrt_Rpmt_ns_DS_Flat_apart_n,Mrt_Rpmt_ns_DS_Flat_apart_pc,Mort_Rpmnt_ns_DS_Other_dwg_n,Mort_Rpmnt_ns_DS_Other_dwg_pc,Mort_Rpmnt_ns_DS_ns_n,Mort_Rpmnt_ns_DS_ns_pc,Mort_Rpmnt_ns_Total_n,Mort_Rpmnt_ns_Total_pc,Tot_DS_Separate_hse_n,Tot_DS_Separate_hse_pc,Tot_DS_sd_row_tce_hse_thse_n,Tot_DS_sd_row_tce_hse_thse_pc,Tot_DS_Flat_apartment_n,Tot_DS_Flat_apartment_pc,Tot_DS_Other_dwg_n,Tot_DS_Other_dwg_pc,Tot_DS_ns_n,Tot_DS_ns_pc,Tot_Tot_n,Tot_Tot_pc,Tot_Tot_total
Albert Park,36.0,0.0044,121.0,0.015,165.0,0.0204,0.0,0.0,0.0,0.0,407.0,0.0503,3.0,0.0004,6.0,0.0007,20.0,0.0025,0.0,0.0,0.0,0.0,38.0,0.0047,0.0,0.0,10.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0027,0.0,0.0,18.0,0.0022,53.0,0.0065,0.0,0.0,0.0,0.0,88.0,0.0109,0.0,0.0,23.0,0.0028,85.0,0.0105,0.0,0.0,0.0,0.0,125.0,0.0154,6.0,0.0007,104.0,0.0129,523.0,0.0646,13.0,0.0016,0.0,0.0,643.0,0.0795,7.0,0.0009,81.0,0.01,824.0,0.1018,12.0,0.0015,0.0,0.0,988.0,0.1221,27.0,0.0033,255.0,0.0315,1191.0,0.1472,21.0,0.0026,0.0,0.0,1570.0,0.194,10.0,0.0012,149.0,0.0184,561.0,0.0693,0.0,0.0,0.0,0.0,793.0,0.098,58.0,0.0072,387.0,0.0478,459.0,0.0567,6.0,0.0007,0.0,0.0,950.0,0.1174,259.0,0.032,950.0,0.1174,335.0,0.0414,0.0,0.0,0.0,0.0,1691.0,0.209,31.0,0.0038,154.0,0.019,232.0,0.0287,5.0,0.0006,0.0,0.0,488.0,0.0603,620.0,0.0766,2630.0,0.325,4768.0,0.5892,89.0,0.011,0.0,0.0,8092.0,1.0,8092.0
Ashwood,481.0,0.0522,55.0,0.006,30.0,0.0033,0.0,0.0,0.0,0.0,604.0,0.0655,47.0,0.0051,9.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0086,26.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0047,51.0,0.0055,11.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0095,73.0,0.0079,0.0,0.0,16.0,0.0017,0.0,0.0,0.0,0.0,116.0,0.0126,361.0,0.0391,54.0,0.0059,72.0,0.0078,0.0,0.0,0.0,0.0,576.0,0.0625,317.0,0.0344,80.0,0.0087,94.0,0.0102,0.0,0.0,0.0,0.0,629.0,0.0682,676.0,0.0733,199.0,0.0216,216.0,0.0234,0.0,0.0,0.0,0.0,1218.0,0.1321,551.0,0.0597,216.0,0.0234,150.0,0.0163,0.0,0.0,0.0,0.0,1006.0,0.1091,1122.0,0.1217,213.0,0.0231,167.0,0.0181,0.0,0.0,0.0,0.0,1571.0,0.1703,1903.0,0.2063,184.0,0.02,72.0,0.0078,0.0,0.0,0.0,0.0,2277.0,0.2469,411.0,0.0446,44.0,0.0048,42.0,0.0046,0.0,0.0,0.0,0.0,578.0,0.0627,6576.0,0.713,1428.0,0.1548,1194.0,0.1295,0.0,0.0,0.0,0.0,9223.0,1.0,9223.0
Bass,358.0,0.0382,8.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,380.0,0.0406,110.0,0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0117,117.0,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0148,242.0,0.0258,12.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,262.0,0.028,399.0,0.0426,7.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0455,1403.0,0.1498,10.0,0.0011,9.0,0.001,0.0,0.0,0.0,0.0,1426.0,0.1523,1686.0,0.18,12.0,0.0013,6.0,0.0006,0.0,0.0,0.0,0.0,1713.0,0.1829,2200.0,0.2349,17.0,0.0018,6.0,0.0006,0.0,0.0,0.0,0.0,2230.0,0.2381,826.0,0.0882,6.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,836.0,0.0893,579.0,0.0618,3.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0641,261.0,0.0279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0281,608.0,0.0649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,0.0664,9120.0,0.9738,145.0,0.0155,47.0,0.005,0.0,0.0,0.0,0.0,9365.0,1.0,9365.0
Bayswater,411.0,0.0385,49.0,0.0046,3.0,0.0003,0.0,0.0,0.0,0.0,476.0,0.0446,86.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0099,62.0,0.0058,4.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0071,195.0,0.0183,20.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,216.0,0.0202,327.0,0.0306,39.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,401.0,0.0375,1032.0,0.0966,166.0,0.0155,51.0,0.0048,0.0,0.0,0.0,0.0,1287.0,0.1205,1190.0,0.1114,310.0,0.029,83.0,0.0078,0.0,0.0,0.0,0.0,1620.0,0.1516,2112.0,0.1977,445.0,0.0417,54.0,0.0051,0.0,0.0,0.0,0.0,2650.0,0.248,1340.0,0.1254,164.0,0.0154,18.0,0.0017,0.0,0.0,0.0,0.0,1569.0,0.1469,866.0,0.0811,79.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,964.0,0.0902,316.0,0.0296,11.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.033,458.0,0.0429,48.0,0.0045,3.0,0.0003,0.0,0.0,0.0,0.0,559.0,0.0523,8785.0,0.8223,1644.0,0.1539,284.0,0.0266,0.0,0.0,0.0,0.0,10684.0,1.0,10684.0
Bellarine,387.0,0.0418,3.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0452,170.0,0.0184,4.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,193.0,0.0208,104.0,0.0112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0131,297.0,0.0321,13.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0339,354.0,0.0382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368.0,0.0398,1229.0,0.1328,25.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,1265.0,0.1367,1586.0,0.1713,19.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,1637.0,0.1768,2128.0,0.2299,22.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,2132.0,0.2303,865.0,0.0934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,865.0,0.0934,649.0,0.0701,6.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,664.0,0.0717,400.0,0.0432,3.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0448,452.0,0.0488,4.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,467.0,0.0504,8979.0,0.97,182.0,0.0197,16.0,0.0017,3.0,0.0003,3.0,0.0003,9257.0,1.0,9257.0
Benambra,357.0,0.0402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,373.0,0.042,170.0,0.0191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.019,136.0,0.0153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0167,315.0,0.0354,4.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,352.0,0.0396,620.0,0.0698,24.0,0.0027,3.0,0.0003,0.0,0.0,0.0,0.0,683.0,0.0769,1968.0,0.2214,25.0,0.0028,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.225,1918.0,0.2158,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0005,1940.0,0.2183,1479.0,0.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0005,1492.0,0.1679,377.0,0.0424,4.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0433,347.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0385,168.0,0.0189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0189,400.0,0.045,3.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0475,8700.0,0.979,148.0,0.0167,17.0,0.0019,4.0,0.0005,13.0,0.0015,8887.0,1.0,8887.0
Bendigo East,352.0,0.0348,6.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,367.0,0.0363,182.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0178,163.0,0.0161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0162,422.0,0.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.0428,658.0,0.0651,6.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,707.0,0.0699,2170.0,0.2145,39.0,0.0039,3.0,0.0003,0.0,0.0,0.0,0.0,2255.0,0.2229,2240.0,0.2215,14.0,0.0014,4.0,0.0004,0.0,0.0,8.0,0.0008,2301.0,0.2275,1698.0,0.1679,10.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1736.0,0.1716,467.0,0.0462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,0.0476,336.0,0.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0342,201.0,0.0199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,0.0202,504.0,0.0498,3.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,519.0,0.0513,9797.0,0.9686,192.0,0.019,8.0,0.0008,0.0,0.0,8.0,0.0008,10115.0,1.0,10115.0
Bendigo West,365.0,0.0431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.0,0.0451,190.0,0.0224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0238,203.0,0.0239,6.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0248,409.0,0.0482,7.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,427.0,0.0504,642.0,0.0757,11.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,661.0,0.078,1972.0,0.2326,19.0,0.0022,3.0,0.0004,0.0,0.0,0.0,0.0,2043.0,0.241,1799.0,0.2122,8.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,1806.0,0.213,1214.0,0.1432,6.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,1208.0,0.1425,402.0,0.0474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0.0478,222.0,0.0262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0267,127.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0159,409.0,0.0482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,0.0484,8268.0,0.9753,139.0,0.0164,10.0,0.0012,0.0,0.0,0.0,0.0,8477.0,1.0,8477.0
Bentleigh,422.0,0.0405,23.0,0.0022,38.0,0.0036,0.0,0.0,0.0,0.0,569.0,0.0546,47.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0098,48.0,0.0046,4.0,0.0004,3.0,0.0003,0.0,0.0,0.0,0.0,76.0,0.0073,102.0,0.0098,3.0,0.0003,9.0,0.0009,0.0,0.0,0.0,0.0,123.0,0.0118,136.0,0.0131,14.0,0.0013,9.0,0.0009,0.0,0.0,0.0,0.0,186.0,0.0179,378.0,0.0363,81.0,0.0078,150.0,0.0144,0.0,0.0,0.0,0.0,730.0,0.0701,463.0,0.0444,101.0,0.0097,248.0,0.0238,0.0,0.0,0.0,0.0,906.0,0.087,929.0,0.0892,386.0,0.0371,393.0,0.0377,0.0,0.0,0.0,0.0,1793.0,0.1721,742.0,0.0712,246.0,0.0236,165.0,0.0158,0.0,0.0,0.0,0.0,1268.0,0.1217,1356.0,0.1302,337.0,0.0323,123.0,0.0118,0.0,0.0,0.0,0.0,1941.0,0.1863,1403.0,0.1347,271.0,0.026,92.0,0.0088,0.0,0.0,0.0,0.0,1902.0,0.1826,434.0,0.0417,90.0,0.0086,54.0,0.0052,0.0,0.0,0.0,0.0,655.0,0.0629,6944.0,0.6665,1993.0,0.1913,1487.0,0.1427,14.0,0.0013,8.0,0.0008,10418.0,1.0,10418.0
Berwick,348.0,0.0255,18.0,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0271,82.0,0.006,4.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0065,82.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0067,104.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0094,231.0,0.0169,6.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0183,953.0,0.0699,33.0,0.0024,3.0,0.0002,0.0,0.0,0.0,0.0,1010.0,0.0741,1673.0,0.1227,61.0,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,1759.0,0.129,3901.0,0.2861,157.0,0.0115,4.0,0.0003,0.0,0.0,0.0,0.0,4100.0,0.3007,2319.0,0.1701,28.0,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,2388.0,0.1751,1448.0,0.1062,14.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1474.0,0.1081,833.0,0.0611,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,861.0,0.0631,753.0,0.0552,10.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,788.0,0.0578,13145.0,0.9641,448.0,0.0329,15.0,0.0011,3.0,0.0002,0.0,0.0,13635.0,1.0,13635.0
Box Hill,449.0,0.0472,100.0,0.0105,18.0,0.0019,0.0,0.0,0.0,0.0,667.0,0.07,64.0,0.0067,14.0,0.0015,3.0,0.0003,0.0,0.0,0.0,0.0,103.0,0.0108,46.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0075,93.0,0.0098,18.0,0.0019,9.0,0.0009,0.0,0.0,0.0,0.0,145.0,0.0152,121.0,0.0127,15.0,0.0016,17.0,0.0018,0.0,0.0,0.0,0.0,217.0,0.0228,371.0,0.039,106.0,0.0111,224.0,0.0235,0.0,0.0,0.0,0.0,784.0,0.0823,445.0,0.0467,142.0,0.0149,268.0,0.0281,0.0,0.0,0.0,0.0,952.0,0.1,840.0,0.0882,351.0,0.0369,219.0,0.023,0.0,0.0,0.0,0.0,1443.0,0.1515,657.0,0.069,245.0,0.0257,35.0,0.0037,0.0,0.0,0.0,0.0,1015.0,0.1066,1137.0,0.1194,290.0,0.0305,39.0,0.0041,0.0,0.0,0.0,0.0,1528.0,0.1605,1372.0,0.1441,196.0,0.0206,12.0,0.0013,0.0,0.0,0.0,0.0,1644.0,0.1727,391.0,0.0411,82.0,0.0086,62.0,0.0065,0.0,0.0,0.0,0.0,563.0,0.0591,6378.0,0.6698,1994.0,0.2094,1145.0,0.1202,0.0,0.0,0.0,0.0,9522.0,1.0,9522.0
Brighton,282.0,0.0358,50.0,0.0063,33.0,0.0042,0.0,0.0,0.0,0.0,413.0,0.0524,41.0,0.0052,4.0,0.0005,12.0,0.0015,0.0,0.0,0.0,0.0,72.0,0.0091,17.0,0.0022,0.0,0.0,14.0,0.0018,0.0,0.0,0.0,0.0,40.0,0.0051,20.0,0.0025,7.0,0.0009,18.0,0.0023,0.0,0.0,0.0,0.0,45.0,0.0057,70.0,0.0089,6.0,0.0008,15.0,0.0019,0.0,0.0,0.0,0.0,117.0,0.0148,171.0,0.0217,51.0,0.0065,147.0,0.0186,0.0,0.0,0.0,0.0,460.0,0.0583,103.0,0.0131,33.0,0.0042,257.0,0.0326,0.0,0.0,0.0,0.0,453.0,0.0575,371.0,0.0471,137.0,0.0174,336.0,0.0426,3.0,0.0004,0.0,0.0,981.0,0.1244,271.0,0.0344,121.0,0.0153,215.0,0.0273,0.0,0.0,0.0,0.0,666.0,0.0845,620.0,0.0786,220.0,0.0279,182.0,0.0231,0.0,0.0,0.0,0.0,1073.0,0.1361,2053.0,0.2604,424.0,0.0538,109.0,0.0138,2.0,0.0003,0.0,0.0,2644.0,0.3353,353.0,0.0448,37.0,0.0047,108.0,0.0137,0.0,0.0,0.0,0.0,598.0,0.0758,4680.0,0.5935,1502.0,0.1905,1665.0,0.2112,14.0,0.0018,0.0,0.0,7885.0,1.0,7885.0
Broadmeadows,310.0,0.0366,11.0,0.0013,12.0,0.0014,0.0,0.0,0.0,0.0,386.0,0.0455,57.0,0.0067,9.0,0.0011,3.0,0.0004,0.0,0.0,0.0,0.0,93.0,0.011,40.0,0.0047,4.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0076,142.0,0.0168,11.0,0.0013,6.0,0.0007,0.0,0.0,0.0,0.0,188.0,0.0222,165.0,0.0195,32.0,0.0038,9.0,0.0011,0.0,0.0,0.0,0.0,258.0,0.0304,773.0,0.0912,269.0,0.0317,74.0,0.0087,0.0,0.0,0.0,0.0,1184.0,0.1397,925.0,0.1091,389.0,0.0459,68.0,0.008,0.0,0.0,0.0,0.0,1531.0,0.1806,1302.0,0.1536,611.0,0.0721,53.0,0.0063,0.0,0.0,0.0,0.0,2038.0,0.2405,587.0,0.0693,217.0,0.0256,12.0,0.0014,0.0,0.0,0.0,0.0,832.0,0.0982,468.0,0.0552,85.0,0.01,4.0,0.0005,0.0,0.0,0.0,0.0,607.0,0.0716,170.0,0.0201,23.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0288,421.0,0.0497,65.0,0.0077,5.0,0.0006,0.0,0.0,0.0,0.0,529.0,0.0624,6024.0,0.7108,2091.0,0.2467,323.0,0.0381,3.0,0.0004,0.0,0.0,8475.0,1.0,8475.0
