district,M_0_299_DS_DS_Sept_house_n,M_0_299_DS_DS_Sept_house_pc,M_0_299_DS_DS_sd_row_tce_hs_t_n,M_0_299_DS_DS_sd_row_tce_hs_t_pc,M_0_299_DS_DS_Flat_apart_n,M_0_299_DS_DS_Flat_apart_pc,M_0_299_DS_DS_Other_dwg_n,M_0_299_DS_DS_Other_dwg_pc,M_0_299_DS_ns_n,M_0_299_DS_ns_pc,M_0_299_Tot_n,M_0_299_Tot_pc,M_300_449_DS_Separate_hse_n,M_300_449_DS_Separate_hse_pc,M_300_449_DS_sd_row_tc_hse_th_n,M_300_449_DS_sd_row_tc_hse_th_pc,M_300_449_DS_Flat_apart_n,M_300_449_DS_Flat_apart_pc,M_300_449_DS_Other_dwg_n,M_300_449_DS_Other_dwg_pc,M_300_449_DS_ns_n,M_300_449_DS_ns_pc,M_300_449_Tot_n,M_300_449_Tot_pc,M_450_599_DS_Separate_hse_n,M_450_599_DS_Separate_hse_pc,M_450_599_DS_sd_row_tce_hs_th_n,M_450_599_DS_sd_row_tce_hs_th_pc,M_450_599_DS_Flat_apart_n,M_450_599_DS_Flat_apart_pc,M_450_599_DS_Other_dwg_n,M_450_599_DS_Other_dwg_pc,M_450_599_DS_ns_n,M_450_599_DS_ns_pc,M_450_599_Tot_n,M_450_599_Tot_pc,M_600_799_DS_Separate_hse_n,M_600_799_DS_Separate_hse_pc,M_600_799_DS_sd_row_tc_hs_th_n,M_600_799_DS_sd_row_tc_hs_th_pc,M_600_799_DS_Flat_apart_n,M_600_799_DS_Flat_apart_pc,M_600_799_DS_Other_dwg_n,M_600_799_DS_Other_dwg_pc,M_600_799_DS_ns_n,M_600_799_DS_ns_pc,M_600_799_Tot_n,M_600_799_Tot_pc,M_800_999_DS_Separate_hse_n,M_800_999_DS_Separate_hse_pc,M_800_999_DS_sd_row_tc_hs_th_n,M_800_999_DS_sd_row_tc_hs_th_pc,M_800_999_DS_Flat_apart_n,M_800_999_DS_Flat_apart_pc,M_800_999_DS_Other_dwg_n,M_800_999_DS_Other_dwg_pc,M_800_999_DS_ns_n,M_800_999_DS_ns_pc,M_800_999_Tot_n,M_800_999_Tot_pc,M_1000_1399_DS_Separate_hse_n,M_1000_1399_DS_Separate_hse_pc,M_1000_1399_DS_sd_rw_tc_h_th_n,M_1000_1399_DS_sd_rw_tc_h_th_pc,M_1000_1399_DS_Flat_apart_n,M_1000_1399_DS_Flat_apart_pc,M_1000_1399_DS_Other_dwg_n,M_1000_1399_DS_Other_dwg_pc,M_1000_1399_DS_ns_n,M_1000_1399_DS_ns_pc,M_1000_1399_Tot_n,M_1000_1399_Tot_pc,M_1400_1799_DS_Separate_hse_n,M_1400_1799_DS_Separate_hse_pc,M_1400_1799_DS_sd_rw_tc_h_th_n,M_1400_1799_DS_sd_rw_tc_h_th_pc,M_1400_1799_DS_Flat_apart_n,M_1400_1799_DS_Flat_apart_pc,M_1400_1799_DS_Other_dwg_n,M_1400_1799_DS_Other_dwg_pc,M_1400_1799_DS_ns_n,M_1400_1799_DS_ns_pc,M_1400_1799_Tot_n,M_1400_1799_Tot_pc,M_1800_2399_DS_Separate_hse_n,M_1800_2399_DS_Separate_hse_pc,M_1800_2399_DS_sd_rw_tc_h_th_n,M_1800_2399_DS_sd_rw_tc_h_th_pc,M_1800_2399_DS_Flat_apart_n,M_1800_2399_DS_Flat_apart_pc,M_1800_2399_DS_Other_dwg_n,M_1800_2399_DS_Other_dwg_pc,M_1800_2399_DS_ns_n,M_1800_2399_DS_ns_pc,M_1800_2399_Tot_n,M_1800_2399_Tot_pc,M_2400_2999_DS_Separate_hse_n,M_2400_2999_DS_Separate_hse_pc,M_2400_2999_DS_sd_rw_tc_h_th_n,M_2400_2999_DS_sd_rw_tc_h_th_pc,M_2400_2999_DS_Flat_apart_n,M_2400_2999_DS_Flat_apart_pc,M_2400_2999_DS_Other_dwg_n,M_2400_2999_DS_Other_dwg_pc,M_2400_2999_DS_ns_n,M_2400_2999_DS_ns_pc,M_2400_2999_Tot_n,M_2400_2999_Tot_pc,M_3000_3999_DS_Separate_hse_n,M_3000_3999_DS_Separate_hse_pc,M_3000_3999_DS_sd_rw_tc_h_th_n,M_3000_3999_DS_sd_rw_tc_h_th_pc,M_3000_3999_DS_Flt_apart_n,M_3000_3999_DS_Flt_apart_pc,M_3000_3999_DS_Other_dwg_n,M_3000_3999_DS_Other_dwg_pc,M_3000_3999_DS_ns_n,M_3000_3999_DS_ns_pc,M_3000_3999_Tot_n,M_3000_3999_Tot_pc,M_4000_over_DS_Separate_hse_n,M_4000_over_DS_Separate_hse_pc,M_4000_ov_DS_sd_rw_tce_hs_th_n,M_4000_ov_DS_sd_rw_tce_hs_th_pc,M_4000_over_DS_Flat_apart_n,M_4000_over_DS_Flat_apart_pc,M_4000_over_DS_Other_dwg_n,M_4000_over_DS_Other_dwg_pc,M_4000_DS_over_ns_n,M_4000_DS_over_ns_pc,M_4000_over_Tot_n,M_4000_over_Tot_pc,Mort_Rpmnt_ns_DS_Separat_hs_n,Mort_Rpmnt_ns_DS_Separat_hs_pc,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th_n,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th_pc,Mrt_Rpmt_ns_DS_Flat_apart_n,Mrt_Rpmt_ns_DS_Flat_apart_pc,Mort_Rpmnt_ns_DS_Other_dwg_n,Mort_Rpmnt_ns_DS_Other_dwg_pc,Mort_Rpmnt_ns_DS_ns_n,Mort_Rpmnt_ns_DS_ns_pc,Mort_Rpmnt_ns_Total_n,Mort_Rpmnt_ns_Total_pc,Tot_DS_Separate_hse_n,Tot_DS_Separate_hse_pc,Tot_DS_sd_row_tce_hse_thse_n,Tot_DS_sd_row_tce_hse_thse_pc,Tot_DS_Flat_apartment_n,Tot_DS_Flat_apartment_pc,Tot_DS_Other_dwg_n,Tot_DS_Other_dwg_pc,Tot_DS_ns_n,Tot_DS_ns_pc,Tot_Tot_n,Tot_Tot_pc,Tot_Tot_total
Brunswick,108.0,0.0144,155.0,0.0207,45.0,0.006,0.0,0.0,0.0,0.0,393.0,0.0525,10.0,0.0013,4.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0039,11.0,0.0015,9.0,0.0012,10.0,0.0013,0.0,0.0,0.0,0.0,29.0,0.0039,31.0,0.0041,19.0,0.0025,32.0,0.0043,0.0,0.0,0.0,0.0,90.0,0.012,38.0,0.0051,33.0,0.0044,61.0,0.0081,0.0,0.0,0.0,0.0,190.0,0.0254,102.0,0.0136,142.0,0.019,345.0,0.0461,0.0,0.0,0.0,0.0,684.0,0.0914,162.0,0.0216,130.0,0.0174,549.0,0.0733,0.0,0.0,0.0,0.0,922.0,0.1232,285.0,0.0381,407.0,0.0544,652.0,0.0871,4.0,0.0005,0.0,0.0,1415.0,0.189,252.0,0.0337,277.0,0.037,172.0,0.023,4.0,0.0005,0.0,0.0,817.0,0.1092,439.0,0.0587,466.0,0.0623,133.0,0.0178,0.0,0.0,0.0,0.0,1115.0,0.149,535.0,0.0715,475.0,0.0635,75.0,0.01,0.0,0.0,0.0,0.0,1152.0,0.1539,115.0,0.0154,97.0,0.013,40.0,0.0053,0.0,0.0,0.0,0.0,326.0,0.0436,2451.0,0.3275,2504.0,0.3345,2464.0,0.3292,30.0,0.004,0.0,0.0,7485.0,1.0,7485.0
Bulleen,417.0,0.0497,58.0,0.0069,45.0,0.0054,0.0,0.0,0.0,0.0,549.0,0.0654,22.0,0.0026,3.0,0.0004,6.0,0.0007,0.0,0.0,0.0,0.0,65.0,0.0077,22.0,0.0026,5.0,0.0006,4.0,0.0005,0.0,0.0,0.0,0.0,47.0,0.0056,50.0,0.006,0.0,0.0,15.0,0.0018,0.0,0.0,0.0,0.0,92.0,0.011,97.0,0.0116,10.0,0.0012,10.0,0.0012,0.0,0.0,0.0,0.0,144.0,0.0172,331.0,0.0394,76.0,0.0091,116.0,0.0138,0.0,0.0,0.0,0.0,584.0,0.0696,321.0,0.0383,142.0,0.0169,183.0,0.0218,0.0,0.0,4.0,0.0005,707.0,0.0843,776.0,0.0925,230.0,0.0274,236.0,0.0281,0.0,0.0,0.0,0.0,1312.0,0.1564,523.0,0.0623,222.0,0.0265,71.0,0.0085,0.0,0.0,0.0,0.0,853.0,0.1017,1038.0,0.1237,256.0,0.0305,56.0,0.0067,0.0,0.0,0.0,0.0,1421.0,0.1693,1333.0,0.1589,178.0,0.0212,20.0,0.0024,0.0,0.0,0.0,0.0,1570.0,0.1871,441.0,0.0526,58.0,0.0069,29.0,0.0035,0.0,0.0,0.0,0.0,563.0,0.0671,5906.0,0.7038,1566.0,0.1866,928.0,0.1106,0.0,0.0,4.0,0.0005,8391.0,1.0,8391.0
Bundoora,415.0,0.0454,19.0,0.0021,10.0,0.0011,0.0,0.0,0.0,0.0,481.0,0.0526,75.0,0.0082,9.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0092,75.0,0.0082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0085,130.0,0.0142,11.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0172,209.0,0.0229,17.0,0.0019,12.0,0.0013,0.0,0.0,0.0,0.0,290.0,0.0317,731.0,0.08,92.0,0.0101,91.0,0.01,0.0,0.0,0.0,0.0,940.0,0.1029,946.0,0.1035,166.0,0.0182,89.0,0.0097,0.0,0.0,0.0,0.0,1273.0,0.1393,1625.0,0.1778,274.0,0.03,34.0,0.0037,0.0,0.0,0.0,0.0,2000.0,0.2188,1175.0,0.1286,91.0,0.01,7.0,0.0008,0.0,0.0,0.0,0.0,1355.0,0.1483,986.0,0.1079,41.0,0.0045,10.0,0.0011,0.0,0.0,0.0,0.0,1074.0,0.1175,549.0,0.0601,7.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,589.0,0.0644,528.0,0.0578,23.0,0.0025,8.0,0.0009,0.0,0.0,0.0,0.0,599.0,0.0655,7738.0,0.8467,1067.0,0.1168,281.0,0.0307,0.0,0.0,0.0,0.0,9139.0,1.0,9139.0
Carrum,354.0,0.0277,40.0,0.0031,7.0,0.0005,0.0,0.0,0.0,0.0,469.0,0.0367,87.0,0.0068,14.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0099,67.0,0.0052,16.0,0.0013,3.0,0.0002,0.0,0.0,0.0,0.0,110.0,0.0086,185.0,0.0145,25.0,0.002,6.0,0.0005,0.0,0.0,0.0,0.0,266.0,0.0208,327.0,0.0256,56.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0352,1224.0,0.0957,255.0,0.0199,23.0,0.0018,0.0,0.0,0.0,0.0,1554.0,0.1215,1595.0,0.1247,396.0,0.0309,57.0,0.0045,5.0,0.0004,0.0,0.0,2091.0,0.1634,2681.0,0.2095,498.0,0.0389,63.0,0.0049,0.0,0.0,0.0,0.0,3277.0,0.2561,1453.0,0.1136,177.0,0.0138,20.0,0.0016,0.0,0.0,0.0,0.0,1673.0,0.1308,946.0,0.0739,138.0,0.0108,17.0,0.0013,0.0,0.0,0.0,0.0,1134.0,0.0886,542.0,0.0424,74.0,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,619.0,0.0484,691.0,0.054,63.0,0.0049,7.0,0.0005,0.0,0.0,0.0,0.0,810.0,0.0633,10467.0,0.8181,2008.0,0.1569,264.0,0.0206,8.0,0.0006,0.0,0.0,12795.0,1.0,12795.0
Caulfield,202.0,0.024,89.0,0.0106,34.0,0.004,0.0,0.0,0.0,0.0,431.0,0.0512,6.0,0.0007,7.0,0.0008,6.0,0.0007,0.0,0.0,0.0,0.0,57.0,0.0068,6.0,0.0007,10.0,0.0012,12.0,0.0014,0.0,0.0,0.0,0.0,45.0,0.0053,6.0,0.0007,0.0,0.0,16.0,0.0019,0.0,0.0,0.0,0.0,73.0,0.0087,26.0,0.0031,9.0,0.0011,25.0,0.003,0.0,0.0,0.0,0.0,114.0,0.0135,152.0,0.0181,83.0,0.0099,273.0,0.0324,6.0,0.0007,0.0,0.0,603.0,0.0716,127.0,0.0151,112.0,0.0133,518.0,0.0615,4.0,0.0005,0.0,0.0,893.0,0.1061,329.0,0.0391,230.0,0.0273,725.0,0.0861,3.0,0.0004,0.0,0.0,1376.0,0.1635,200.0,0.0238,253.0,0.0301,273.0,0.0324,4.0,0.0005,0.0,0.0,819.0,0.0973,440.0,0.0523,398.0,0.0473,135.0,0.016,0.0,0.0,0.0,0.0,1069.0,0.127,1315.0,0.1562,389.0,0.0462,77.0,0.0091,0.0,0.0,0.0,0.0,1880.0,0.2234,271.0,0.0322,127.0,0.0151,89.0,0.0106,0.0,0.0,0.0,0.0,624.0,0.0741,3645.0,0.4331,2209.0,0.2625,2539.0,0.3017,20.0,0.0024,0.0,0.0,8416.0,1.0,8416.0
Clarinda,416.0,0.0475,31.0,0.0035,17.0,0.0019,0.0,0.0,0.0,0.0,514.0,0.0587,81.0,0.0092,8.0,0.0009,3.0,0.0003,0.0,0.0,0.0,0.0,95.0,0.0108,54.0,0.0062,3.0,0.0003,3.0,0.0003,0.0,0.0,0.0,0.0,70.0,0.008,122.0,0.0139,40.0,0.0046,10.0,0.0011,0.0,0.0,0.0,0.0,221.0,0.0252,199.0,0.0227,22.0,0.0025,12.0,0.0014,0.0,0.0,0.0,0.0,237.0,0.0271,630.0,0.0719,73.0,0.0083,67.0,0.0077,3.0,0.0003,0.0,0.0,905.0,0.1033,792.0,0.0904,195.0,0.0223,105.0,0.012,0.0,0.0,0.0,0.0,1183.0,0.1351,1309.0,0.1495,309.0,0.0353,101.0,0.0115,4.0,0.0005,0.0,0.0,1758.0,0.2007,947.0,0.1081,147.0,0.0168,6.0,0.0007,0.0,0.0,0.0,0.0,1104.0,0.1261,1034.0,0.1181,100.0,0.0114,7.0,0.0008,0.0,0.0,0.0,0.0,1152.0,0.1315,497.0,0.0567,30.0,0.0034,4.0,0.0005,0.0,0.0,0.0,0.0,577.0,0.0659,459.0,0.0524,33.0,0.0038,18.0,0.0021,0.0,0.0,0.0,0.0,570.0,0.0651,6953.0,0.7939,1291.0,0.1474,443.0,0.0506,5.0,0.0006,0.0,0.0,8758.0,1.0,8758.0
Cranbourne,315.0,0.0213,4.0,0.0003,5.0,0.0003,0.0,0.0,0.0,0.0,356.0,0.0241,95.0,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0067,58.0,0.0039,0.0,0.0,10.0,0.0007,0.0,0.0,0.0,0.0,85.0,0.0058,167.0,0.0113,19.0,0.0013,3.0,0.0002,0.0,0.0,0.0,0.0,190.0,0.0129,327.0,0.0222,17.0,0.0012,5.0,0.0003,0.0,0.0,0.0,0.0,391.0,0.0265,1364.0,0.0924,172.0,0.0117,21.0,0.0014,0.0,0.0,0.0,0.0,1563.0,0.1059,2647.0,0.1794,283.0,0.0192,4.0,0.0003,0.0,0.0,4.0,0.0003,2919.0,0.1978,4686.0,0.3176,244.0,0.0165,0.0,0.0,0.0,0.0,0.0,0.0,5034.0,0.3411,1729.0,0.1172,46.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,1841.0,0.1248,756.0,0.0512,20.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,785.0,0.0532,353.0,0.0239,3.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0248,767.0,0.052,47.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,835.0,0.0566,13568.0,0.9195,1102.0,0.0747,61.0,0.0041,0.0,0.0,4.0,0.0003,14756.0,1.0,14756.0
Croydon,466.0,0.0388,31.0,0.0026,7.0,0.0006,0.0,0.0,0.0,0.0,522.0,0.0435,131.0,0.0109,4.0,0.0003,3.0,0.0002,0.0,0.0,0.0,0.0,158.0,0.0132,120.0,0.01,4.0,0.0003,3.0,0.0002,0.0,0.0,0.0,0.0,143.0,0.0119,184.0,0.0153,19.0,0.0016,3.0,0.0002,0.0,0.0,0.0,0.0,237.0,0.0197,357.0,0.0297,22.0,0.0018,9.0,0.0007,0.0,0.0,0.0,0.0,397.0,0.0331,1125.0,0.0937,128.0,0.0107,59.0,0.0049,0.0,0.0,0.0,0.0,1353.0,0.1127,1536.0,0.128,203.0,0.0169,71.0,0.0059,0.0,0.0,0.0,0.0,1822.0,0.1518,2620.0,0.2183,251.0,0.0209,24.0,0.002,0.0,0.0,0.0,0.0,2957.0,0.2464,1679.0,0.1399,123.0,0.0102,4.0,0.0003,0.0,0.0,0.0,0.0,1778.0,0.1481,1133.0,0.0944,30.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,1192.0,0.0993,455.0,0.0379,27.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0418,553.0,0.0461,22.0,0.0018,3.0,0.0002,0.0,0.0,0.0,0.0,591.0,0.0492,10716.0,0.8928,1064.0,0.0886,217.0,0.0181,0.0,0.0,0.0,0.0,12003.0,1.0,12003.0
Dandenong,343.0,0.0401,8.0,0.0009,6.0,0.0007,0.0,0.0,0.0,0.0,407.0,0.0476,86.0,0.0101,7.0,0.0008,4.0,0.0005,0.0,0.0,0.0,0.0,109.0,0.0128,100.0,0.0117,6.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0152,168.0,0.0197,25.0,0.0029,15.0,0.0018,0.0,0.0,0.0,0.0,250.0,0.0292,246.0,0.0288,63.0,0.0074,51.0,0.006,0.0,0.0,0.0,0.0,421.0,0.0492,875.0,0.1024,309.0,0.0361,131.0,0.0153,0.0,0.0,0.0,0.0,1364.0,0.1596,1121.0,0.1311,412.0,0.0482,72.0,0.0084,0.0,0.0,0.0,0.0,1613.0,0.1887,1481.0,0.1732,336.0,0.0393,41.0,0.0048,0.0,0.0,0.0,0.0,1914.0,0.2239,586.0,0.0685,44.0,0.0051,0.0,0.0,0.0,0.0,0.0,0.0,661.0,0.0773,350.0,0.0409,15.0,0.0018,3.0,0.0004,0.0,0.0,0.0,0.0,373.0,0.0436,193.0,0.0226,29.0,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.026,472.0,0.0552,98.0,0.0115,28.0,0.0033,0.0,0.0,0.0,0.0,667.0,0.078,6350.0,0.7428,1602.0,0.1874,486.0,0.0568,0.0,0.0,0.0,0.0,8549.0,1.0,8549.0
Eildon,439.0,0.0435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,0.0445,146.0,0.0145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0152,164.0,0.0163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.0,0.0163,332.0,0.0329,6.0,0.0006,0.0,0.0,6.0,0.0006,0.0,0.0,341.0,0.0338,480.0,0.0476,6.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,493.0,0.0489,1527.0,0.1514,29.0,0.0029,5.0,0.0005,0.0,0.0,0.0,0.0,1591.0,0.1577,1646.0,0.1632,16.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,1694.0,0.1679,2102.0,0.2084,7.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,2115.0,0.2097,914.0,0.0906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,0.092,700.0,0.0694,0.0,0.0,3.0,0.0003,0.0,0.0,0.0,0.0,713.0,0.0707,429.0,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0428,629.0,0.0624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,0.0634,9898.0,0.9812,100.0,0.0099,17.0,0.0017,14.0,0.0014,0.0,0.0,10088.0,1.0,10088.0
Eltham,449.0,0.0429,3.0,0.0003,3.0,0.0003,0.0,0.0,0.0,0.0,474.0,0.0453,125.0,0.012,0.0,0.0,6.0,0.0006,0.0,0.0,0.0,0.0,136.0,0.013,90.0,0.0086,4.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0098,147.0,0.0141,12.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0173,217.0,0.0208,6.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,258.0,0.0247,835.0,0.0799,64.0,0.0061,18.0,0.0017,0.0,0.0,0.0,0.0,925.0,0.0885,992.0,0.0949,84.0,0.008,27.0,0.0026,0.0,0.0,0.0,0.0,1125.0,0.1076,1824.0,0.1745,137.0,0.0131,45.0,0.0043,0.0,0.0,0.0,0.0,2043.0,0.1954,1487.0,0.1422,51.0,0.0049,34.0,0.0033,0.0,0.0,0.0,0.0,1612.0,0.1542,1668.0,0.1595,34.0,0.0033,3.0,0.0003,0.0,0.0,0.0,0.0,1720.0,0.1645,940.0,0.0899,4.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,961.0,0.0919,595.0,0.0569,25.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,637.0,0.0609,9667.0,0.9246,557.0,0.0533,178.0,0.017,0.0,0.0,3.0,0.0003,10455.0,1.0,10455.0
Essendon,248.0,0.0289,12.0,0.0014,33.0,0.0038,0.0,0.0,0.0,0.0,387.0,0.045,38.0,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0069,20.0,0.0023,0.0,0.0,17.0,0.002,0.0,0.0,0.0,0.0,49.0,0.0057,33.0,0.0038,21.0,0.0024,5.0,0.0006,0.0,0.0,0.0,0.0,113.0,0.0132,77.0,0.009,20.0,0.0023,61.0,0.0071,0.0,0.0,0.0,0.0,221.0,0.0257,258.0,0.03,126.0,0.0147,353.0,0.0411,0.0,0.0,0.0,0.0,810.0,0.0943,264.0,0.0307,136.0,0.0158,464.0,0.054,4.0,0.0005,0.0,0.0,994.0,0.1157,526.0,0.0612,225.0,0.0262,531.0,0.0618,6.0,0.0007,0.0,0.0,1367.0,0.1591,508.0,0.0591,178.0,0.0207,120.0,0.014,0.0,0.0,0.0,0.0,886.0,0.1031,881.0,0.1025,298.0,0.0347,75.0,0.0087,0.0,0.0,0.0,0.0,1317.0,0.1533,1217.0,0.1416,186.0,0.0216,28.0,0.0033,0.0,0.0,0.0,0.0,1488.0,0.1732,314.0,0.0365,81.0,0.0094,60.0,0.007,0.0,0.0,0.0,0.0,608.0,0.0708,4758.0,0.5538,1712.0,0.1993,2022.0,0.2353,8.0,0.0009,0.0,0.0,8592.0,1.0,8592.0
Eureka,440.0,0.0382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,0.0394,210.0,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0205,161.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0149,363.0,0.0315,12.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0334,576.0,0.05,29.0,0.0025,3.0,0.0003,0.0,0.0,0.0,0.0,622.0,0.054,1961.0,0.1704,70.0,0.0061,3.0,0.0003,0.0,0.0,0.0,0.0,2078.0,0.1805,2391.0,0.2077,34.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,2459.0,0.2136,2519.0,0.2189,9.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,2570.0,0.2233,837.0,0.0727,3.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,849.0,0.0738,575.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0,0.0509,252.0,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0219,623.0,0.0541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,651.0,0.0566,11133.0,0.9672,337.0,0.0293,13.0,0.0011,4.0,0.0003,7.0,0.0006,11510.0,1.0,11510.0
Euroa,382.0,0.0437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0455,258.0,0.0295,3.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0307,202.0,0.0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,0.0254,482.0,0.0552,5.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,503.0,0.0576,707.0,0.0809,4.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,723.0,0.0828,1698.0,0.1944,10.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,1730.0,0.1981,1625.0,0.1861,6.0,0.0007,4.0,0.0005,0.0,0.0,0.0,0.0,1637.0,0.1874,1293.0,0.148,4.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,1299.0,0.1487,445.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.0,0.0513,336.0,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0382,193.0,0.0221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.0,0.0226,481.0,0.0551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.0,0.0554,8556.0,0.9796,122.0,0.014,13.0,0.0015,7.0,0.0008,0.0,0.0,8734.0,1.0,8734.0
Evelyn,500.0,0.0418,6.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,492.0,0.0411,121.0,0.0101,6.0,0.0005,3.0,0.0003,0.0,0.0,0.0,0.0,132.0,0.011,104.0,0.0087,7.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0095,211.0,0.0176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0183,370.0,0.0309,17.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,383.0,0.032,1125.0,0.0941,48.0,0.004,5.0,0.0004,0.0,0.0,0.0,0.0,1199.0,0.1003,1718.0,0.1436,88.0,0.0074,3.0,0.0003,0.0,0.0,0.0,0.0,1816.0,0.1518,2830.0,0.2366,82.0,0.0069,4.0,0.0003,0.0,0.0,0.0,0.0,2912.0,0.2435,1952.0,0.1632,13.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,1978.0,0.1654,1191.0,0.0996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1199.0,0.1003,555.0,0.0464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,0.047,736.0,0.0615,10.0,0.0008,3.0,0.0003,0.0,0.0,0.0,0.0,788.0,0.0659,11527.0,0.9638,357.0,0.0298,21.0,0.0018,7.0,0.0006,3.0,0.0003,11960.0,1.0,11960.0
Footscray,268.0,0.0274,65.0,0.0067,16.0,0.0016,0.0,0.0,0.0,0.0,412.0,0.0422,31.0,0.0032,7.0,0.0007,3.0,0.0003,0.0,0.0,0.0,0.0,60.0,0.0061,14.0,0.0014,0.0,0.0,3.0,0.0003,0.0,0.0,0.0,0.0,16.0,0.0016,58.0,0.0059,19.0,0.0019,21.0,0.0022,0.0,0.0,0.0,0.0,161.0,0.0165,86.0,0.0088,12.0,0.0012,99.0,0.0101,0.0,0.0,0.0,0.0,264.0,0.027,373.0,0.0382,163.0,0.0167,468.0,0.0479,0.0,0.0,0.0,0.0,1068.0,0.1094,431.0,0.0441,228.0,0.0233,518.0,0.053,3.0,0.0003,0.0,0.0,1265.0,0.1295,950.0,0.0973,515.0,0.0527,452.0,0.0463,3.0,0.0003,0.0,0.0,2005.0,0.2053,770.0,0.0788,323.0,0.0331,144.0,0.0147,0.0,0.0,0.0,0.0,1278.0,0.1309,1039.0,0.1064,257.0,0.0263,53.0,0.0054,0.0,0.0,0.0,0.0,1513.0,0.1549,779.0,0.0798,130.0,0.0133,36.0,0.0037,0.0,0.0,0.0,0.0,995.0,0.1019,313.0,0.032,66.0,0.0068,59.0,0.006,0.0,0.0,0.0,0.0,464.0,0.0475,5448.0,0.5579,2165.0,0.2217,2069.0,0.2119,12.0,0.0012,7.0,0.0007,9766.0,1.0,9766.0
Frankston,305.0,0.0329,38.0,0.0041,4.0,0.0004,0.0,0.0,0.0,0.0,372.0,0.0401,141.0,0.0152,8.0,0.0009,4.0,0.0004,0.0,0.0,0.0,0.0,156.0,0.0168,70.0,0.0075,7.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0105,236.0,0.0255,13.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,290.0,0.0313,283.0,0.0305,37.0,0.004,8.0,0.0009,0.0,0.0,0.0,0.0,366.0,0.0395,998.0,0.1076,211.0,0.0228,50.0,0.0054,0.0,0.0,0.0,0.0,1263.0,0.1362,1219.0,0.1315,246.0,0.0265,42.0,0.0045,0.0,0.0,0.0,0.0,1494.0,0.1611,1905.0,0.2055,149.0,0.0161,11.0,0.0012,0.0,0.0,0.0,0.0,2149.0,0.2318,952.0,0.1027,67.0,0.0072,3.0,0.0003,0.0,0.0,0.0,0.0,1043.0,0.1125,737.0,0.0795,19.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,800.0,0.0863,320.0,0.0345,6.0,0.0006,5.0,0.0005,0.0,0.0,0.0,0.0,341.0,0.0368,523.0,0.0564,28.0,0.003,3.0,0.0003,0.0,0.0,0.0,0.0,621.0,0.067,8015.0,0.8644,1093.0,0.1179,164.0,0.0177,0.0,0.0,0.0,0.0,9272.0,1.0,9272.0
Geelong,376.0,0.0401,12.0,0.0013,5.0,0.0005,0.0,0.0,0.0,0.0,419.0,0.0447,128.0,0.0137,3.0,0.0003,5.0,0.0005,0.0,0.0,0.0,0.0,155.0,0.0165,108.0,0.0115,4.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0131,246.0,0.0263,19.0,0.002,6.0,0.0006,0.0,0.0,0.0,0.0,297.0,0.0317,301.0,0.0321,27.0,0.0029,7.0,0.0007,0.0,0.0,0.0,0.0,384.0,0.041,1209.0,0.129,95.0,0.0101,49.0,0.0052,0.0,0.0,3.0,0.0003,1429.0,0.1525,1520.0,0.1622,91.0,0.0097,6.0,0.0006,0.0,0.0,0.0,0.0,1621.0,0.173,1886.0,0.2013,43.0,0.0046,29.0,0.0031,0.0,0.0,0.0,0.0,2030.0,0.2166,832.0,0.0888,14.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,879.0,0.0938,636.0,0.0679,8.0,0.0009,7.0,0.0007,0.0,0.0,0.0,0.0,646.0,0.0689,417.0,0.0445,8.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,436.0,0.0465,495.0,0.0528,16.0,0.0017,5.0,0.0005,0.0,0.0,0.0,0.0,538.0,0.0574,8521.0,0.9094,621.0,0.0663,229.0,0.0244,8.0,0.0009,11.0,0.0012,9370.0,1.0,9370.0
