district,SH_FHs_CF_no_C_n,SH_FHs_CF_C_n,SH_FHs_OnePF_n,SH_FHs_Oth_fam_n,SH_FHs_Tot_n,SH_Lone_P_H_n,SH_Group_H_n,SH_Tot_n,SDRTHT_1_S_FHs_CF_no_C_n,SDRTHT_1_S_FHs_CF_C_n,SDRTHT_1_S_FHs_OnePF_n,SDRTHT_1_S_FHs_Oth_fam_n,SDRTHT_1_S_FHs_Tot_n,SDRTHT_1_S_Lone_P_H_n,SDRTHT_1_S_Group_H_n,SDRTHT_1_S_Tot_n,SDRTHT_2more_S_FHs_CF_no_C_n,SDRTHT_2more_S_FHs_CF_C_n,SDRTHT_2more_S_FHs_OnePF_n,SDRTHT_2more_S_FHs_Oth_fam_n,SDRTHT_2more_S_FHs_Tot_n,SDRTHT_2more_S_Lone_P_H_n,SDRTHT_2more_S_Group_H_n,SDRTHT_2more_S_Tot_n,SDRTHT_Tot_FHs_CF_no_C_n,SDRTHT_Tot_FHs_CF_C_n,SDRTHT_Tot_FHs_OnePF_n,SDRTHT_Tot_FHs_Oth_fam_n,SDRTHT_Tot_FHs_Tot_n,SDRTHT_Tot_Lone_P_H_n,SDRTHT_Tot_Group_H_n,SDRTHT_Tot_Tot_n,FoA_1_or_2_SB_FHs_CF_no_C_n,FoA_1_or_2_SB_FHs_CF_C_n,FoA_1_or_2_SB_FHs_OnePF_n,FoA_1_or_2_SB_FHs_Oth_fam_n,FoA_1_or_2_SB_FHs_Tot_n,FoA_1_or_2_SB_Lone_P_H_n,FoA_1_or_2_SB_Group_H_n,FoA_1_or_2_SB_Tot_n,FoA_3SB_FHs_CF_no_C_n,FoA_3SB_FHs_CF_C_n,FoA_3SB_FHs_OnePF_n,FoA_3SB_FHs_Oth_fam_n,FoA_3SB_FHs_Tot_n,FoA_3SB_Lone_P_H_n,FoA_3SB_Group_H_n,FoA_3SB_Tot_n,FoA_4_to_8_SB_FHs_CF_no_C_n,FoA_4_to_8_SB_FHs_CF_C_n,FoA_4_to_8_SB_FHs_OnePF_n,FoA_4_to_8_SB_FHs_Oth_fam_n,FoA_4_to_8_SB_FHs_Tot_n,FoA_4_to_8_SB_Lone_P_H_n,FoA_4_to_8_SB_Group_H_n,FoA_4_to_8_SB_Tot_n,FoA_9moSB_FHs_CF_no_C_n,FoA_9moSB_FHs_CF_C_n,FoA_9moSB_FHs_OnePF_n,FoA_9moSB_FHs_Oth_fam_n,FoA_9moSB_FHs_Tot_n,FoA_9moSB_Lone_P_H_n,FoA_9moSB_Group_H_n,FoA_9moSB_Tot_n,FoA_Att_to_hous_FHs_CF_no_C_n,FoA_Att_to_hous_FHs_CF_C_n,FoA_Att_to_hous_FHs_OnePF_n,FoA_Att_to_hous_FHs_Oth_fam_n,FoA_Att_to_hous_FHs_Tot_n,FoA_Att_to_hous_Lone_P_H_n,FoA_Att_to_hous_Group_H_n,FoA_Att_to_hous_Tot_n,FoA_Tot_FHs_CF_no_C_n,FoA_Tot_FHs_CF_C_n,FoA_Tot_FHs_OnePF_n,FoA_Tot_FHs_Oth_fam_n,FoA_Tot_FHs_Tot_n,FoA_Tot_Lone_P_H_n,FoA_Tot_Group_H_n,FoA_Tot_Tot_n,OD_C_FHs_CF_no_C_n,OD_C_FHs_CF_C_n,OD_C_FHs_OnePF_n,OD_C_FHs_Oth_fam_n,OD_C_FHs_Tot_n,OD_C_Lone_P_H_n,OD_C_Group_H_n,OD_C_Tot_n,OD_CH_FHs_CF_no_C_n,OD_CH_FHs_CF_C_n,OD_CH_FHs_OnePF_n,OD_CH_FHs_Oth_fam_n,OD_CH_FHs_Tot_n,OD_CH_Lone_P_H_n,OD_CH_Group_H_n,OD_CH_Tot_n,OD_Imp_home_T_SO_FHs_CF_no_C_n,OD_Imp_home_T_SO_FHs_CF_C_n,OD_Imp_home_T_SO_FHs_OnePF_n,OD_Imp_home_T_SO_FHs_Oth_fam_n,OD_Imp_home_T_SO_FHs_Tot_n,OD_Imp_home_T_SO_Lone_P_H_n,OD_Imp_home_T_SO_Group_H_n,OD_Imp_home_T_SO_Tot_n,OD_HorF_at_to_S_O_FHs_CF_no_C_n,OD_HorF_at_to_S_O_FHs_CF_C_n,OD_HorF_at_to_S_O_FHs_OnePF_n,OD_HorF_at_to_S_O_FHs_Oth_fam_n,OD_HorF_at_to_S_O_FHs_Tot_n,OD_HorF_at_to_S_O_Lone_P_H_n,OD_HorF_at_to_S_O_Group_H_n,OD_HorF_at_to_S_O_Tot_n,OD_Tot_FHs_CF_no_C_n,OD_Tot_FHs_CF_C_n,OD_Tot_FHs_OnePF_n,OD_Tot_FHs_Oth_fam_n,OD_Tot_FHs_Tot_n,OD_Tot_Lone_P_H_n,OD_Tot_Group_H_n,OD_Tot_Tot_n,DS_NS_FHs_CF_no_C_n,DS_NS_FHs_CF_C_n,DS_NS_FHs_OnePF_n,DS_NS_FHs_Oth_fam_n,DS_NS_FHs_Tot_n,DS_NS_Lone_P_H_n,DS_NS_Group_H_n,DS_NS_Tot_n,Tot_FHs_CF_no_C_n,Tot_FHs_CF_C_n,Tot_FHs_OnePF_n,Tot_FHs_Oth_fam_n,Tot_FHs_Tot_n,Tot_Lone_P_H_n,Tot_Group_H_n,Tot_Tot_n,Tot_Tot_total
Albert Park,571.0,756.0,134.0,6.0,1471.0,345.0,37.0,1944.0,1264.0,1270.0,380.0,24.0,3005.0,1302.0,195.0,4505.0,1211.0,1425.0,443.0,48.0,3167.0,1059.0,246.0,4550.0,2543.0,2734.0,836.0,73.0,6233.0,2380.0,477.0,9111.0,438.0,138.0,113.0,3.0,725.0,1235.0,104.0,2082.0,881.0,280.0,179.0,12.0,1438.0,2286.0,274.0,3944.0,1413.0,364.0,299.0,44.0,2098.0,2624.0,179.0,4950.0,3966.0,1041.0,474.0,231.0,5793.0,5655.0,1402.0,12857.0,0.0,4.0,0.0,0.0,4.0,7.0,0.0,8.0,6718.0,1852.0,1085.0,310.0,10005.0,11840.0,1980.0,23834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,15.0,9.0,0.0,157.0,221.0,43.0,428.0,110.0,15.0,9.0,0.0,157.0,221.0,43.0,431.0,18.0,0.0,0.0,0.0,27.0,21.0,0.0,71.0,9996.0,5342.0,2084.0,437.0,17958.0,14898.0,2648.0,35474.0,35474.0
Ashwood,4641.0,8557.0,1922.0,171.0,15398.0,3115.0,766.0,19365.0,535.0,528.0,183.0,13.0,1399.0,750.0,36.0,2241.0,511.0,822.0,198.0,3.0,1680.0,290.0,144.0,2185.0,1143.0,1465.0,426.0,23.0,3067.0,1112.0,215.0,4472.0,813.0,1065.0,371.0,46.0,2321.0,1144.0,82.0,3618.0,116.0,32.0,8.0,5.0,190.0,224.0,22.0,439.0,115.0,25.0,52.0,11.0,191.0,284.0,14.0,489.0,58.0,11.0,3.0,0.0,72.0,89.0,18.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1107.0,1141.0,448.0,61.0,2781.0,1738.0,142.0,4746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,14.0,17.0,3.0,47.0,4.0,7.0,0.0,0.0,14.0,17.0,3.0,47.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6843.0,11218.0,2872.0,354.0,21353.0,6036.0,1223.0,28775.0,28775.0
Bass,7637.0,6825.0,2305.0,134.0,17034.0,5733.0,544.0,23317.0,115.0,13.0,15.0,0.0,181.0,459.0,3.0,691.0,108.0,43.0,25.0,0.0,177.0,81.0,11.0,279.0,233.0,59.0,44.0,0.0,398.0,555.0,11.0,972.0,46.0,18.0,25.0,0.0,130.0,225.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,25.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,73.0,18.0,18.0,0.0,152.0,250.0,0.0,423.0,0.0,0.0,0.0,0.0,4.0,40.0,0.0,45.0,29.0,0.0,6.0,0.0,39.0,78.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,29.0,0.0,6.0,0.0,45.0,114.0,0.0,168.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,19.0,8006.0,7020.0,2440.0,134.0,17663.0,6715.0,613.0,25014.0,25014.0
Bayswater,5660.0,8004.0,2760.0,156.0,16744.0,4240.0,599.0,21500.0,609.0,521.0,331.0,21.0,1502.0,1253.0,62.0,2938.0,466.0,446.0,264.0,13.0,1280.0,502.0,85.0,1920.0,1146.0,975.0,598.0,44.0,2828.0,1792.0,172.0,4824.0,92.0,55.0,39.0,4.0,224.0,299.0,8.0,567.0,69.0,23.0,26.0,3.0,119.0,172.0,17.0,303.0,20.0,0.0,18.0,0.0,43.0,43.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,177.0,77.0,94.0,7.0,383.0,525.0,24.0,960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7053.0,9112.0,3441.0,260.0,19948.0,6637.0,809.0,27396.0,27396.0
Bellarine,8892.0,7357.0,2384.0,146.0,18772.0,5788.0,456.0,25066.0,228.0,32.0,78.0,0.0,408.0,688.0,3.0,1145.0,137.0,26.0,33.0,0.0,260.0,107.0,0.0,374.0,384.0,93.0,125.0,0.0,702.0,787.0,8.0,1588.0,32.0,3.0,3.0,0.0,40.0,87.0,0.0,148.0,3.0,3.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,3.0,0.0,46.0,88.0,0.0,152.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,5.0,18.0,0.0,3.0,0.0,27.0,77.0,4.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,5.0,0.0,17.0,26.0,0.0,4.0,0.0,36.0,90.0,4.0,141.0,4.0,0.0,0.0,0.0,11.0,3.0,0.0,9.0,9391.0,7478.0,2545.0,156.0,19598.0,6788.0,513.0,26978.0,26978.0
Benambra,7271.0,6930.0,2614.0,136.0,17097.0,5579.0,498.0,23187.0,169.0,65.0,137.0,4.0,446.0,1067.0,45.0,1606.0,6.0,3.0,15.0,5.0,46.0,37.0,0.0,91.0,186.0,62.0,161.0,12.0,495.0,1114.0,50.0,1716.0,32.0,4.0,23.0,0.0,84.0,205.0,7.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,4.0,23.0,0.0,84.0,205.0,7.0,314.0,3.0,0.0,0.0,0.0,3.0,44.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,9.0,0.0,28.0,16.0,0.0,3.0,0.0,30.0,59.0,0.0,117.0,13.0,5.0,0.0,0.0,24.0,0.0,0.0,38.0,7623.0,7055.0,2892.0,165.0,17756.0,7014.0,596.0,25400.0,25400.0
Bendigo East,7106.0,7727.0,3082.0,192.0,18087.0,5822.0,737.0,24746.0,240.0,108.0,131.0,10.0,559.0,1113.0,50.0,1743.0,44.0,22.0,29.0,0.0,130.0,71.0,24.0,239.0,303.0,136.0,149.0,10.0,661.0,1220.0,85.0,1947.0,17.0,0.0,12.0,0.0,35.0,55.0,0.0,97.0,9.0,4.0,0.0,0.0,7.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,12.0,0.0,42.0,59.0,0.0,110.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,9.0,10.0,0.0,0.0,0.0,20.0,9.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,12.0,0.0,13.0,20.0,0.0,0.0,0.0,35.0,24.0,0.0,67.0,7.0,0.0,0.0,0.0,11.0,6.0,0.0,27.0,7505.0,7932.0,3268.0,209.0,18897.0,7217.0,863.0,26985.0,26985.0
Bendigo West,6705.0,6014.0,2866.0,183.0,15789.0,6848.0,737.0,23466.0,131.0,53.0,104.0,5.0,351.0,861.0,26.0,1287.0,44.0,13.0,19.0,0.0,96.0,96.0,3.0,211.0,175.0,71.0,123.0,9.0,446.0,955.0,39.0,1500.0,45.0,7.0,18.0,0.0,73.0,190.0,3.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,7.0,18.0,0.0,72.0,195.0,3.0,297.0,3.0,0.0,0.0,0.0,3.0,31.0,0.0,29.0,8.0,0.0,0.0,0.0,8.0,6.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,18.0,12.0,4.0,33.0,19.0,0.0,4.0,0.0,28.0,51.0,4.0,82.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,23.0,6955.0,6133.0,3071.0,215.0,16455.0,8100.0,838.0,25431.0,25431.0
Bentleigh,4090.0,8269.0,2007.0,127.0,14510.0,3134.0,366.0,18109.0,677.0,617.0,280.0,12.0,1695.0,1050.0,43.0,2837.0,542.0,1197.0,290.0,15.0,2161.0,298.0,41.0,2577.0,1190.0,1850.0,670.0,35.0,3878.0,1404.0,121.0,5444.0,625.0,536.0,311.0,34.0,1602.0,1232.0,86.0,2918.0,164.0,51.0,47.0,0.0,307.0,229.0,29.0,584.0,292.0,118.0,90.0,6.0,508.0,555.0,44.0,1118.0,19.0,9.0,8.0,0.0,36.0,44.0,9.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,752.0,470.0,43.0,2464.0,2089.0,201.0,4715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,15.0,25.0,0.0,77.0,14.0,4.0,0.0,0.0,15.0,28.0,0.0,80.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,16.0,6477.0,10961.0,3168.0,277.0,20924.0,6698.0,735.0,28370.0,28370.0
Berwick,5053.0,12675.0,2238.0,113.0,20213.0,2707.0,328.0,23351.0,331.0,170.0,91.0,4.0,664.0,612.0,0.0,1305.0,180.0,182.0,86.0,0.0,447.0,146.0,10.0,622.0,532.0,343.0,186.0,4.0,1100.0,765.0,18.0,1934.0,14.0,6.0,6.0,0.0,30.0,9.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,6.0,0.0,30.0,17.0,0.0,47.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,12.0,0.0,0.0,0.0,12.0,65.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,0.0,0.0,0.0,20.0,64.0,0.0,90.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5652.0,13089.0,2446.0,120.0,21396.0,3589.0,378.0,25410.0,25410.0
Box Hill,4195.0,7698.0,1862.0,220.0,14024.0,3470.0,837.0,18263.0,1153.0,904.0,374.0,27.0,2626.0,1930.0,191.0,4860.0,783.0,1024.0,394.0,21.0,2237.0,659.0,177.0,3200.0,1944.0,1971.0,852.0,67.0,4878.0,2596.0,456.0,7978.0,356.0,226.0,150.0,18.0,839.0,818.0,114.0,1753.0,337.0,87.0,77.0,31.0,554.0,476.0,117.0,1143.0,413.0,95.0,120.0,20.0,653.0,737.0,131.0,1548.0,486.0,121.0,129.0,30.0,766.0,564.0,190.0,1521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1572.0,570.0,453.0,98.0,2771.0,2605.0,544.0,5927.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,7786.0,10185.0,3178.0,425.0,21709.0,8670.0,1830.0,32279.0,32279.0
Brighton,3152.0,6012.0,1187.0,30.0,10517.0,2056.0,144.0,12768.0,682.0,619.0,230.0,5.0,1592.0,939.0,51.0,2646.0,784.0,820.0,210.0,0.0,1903.0,636.0,36.0,2651.0,1527.0,1432.0,473.0,14.0,3498.0,1640.0,120.0,5313.0,740.0,354.0,188.0,11.0,1304.0,1503.0,174.0,3048.0,856.0,237.0,194.0,34.0,1377.0,1958.0,227.0,3577.0,297.0,68.0,72.0,3.0,458.0,661.0,22.0,1141.0,14.0,7.0,3.0,0.0,26.0,50.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.0,707.0,448.0,63.0,3184.0,4164.0,481.0,7854.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,10.0,0.0,41.0,47.0,4.0,99.0,22.0,0.0,10.0,0.0,41.0,47.0,4.0,99.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,6678.0,8171.0,2294.0,153.0,17345.0,7959.0,832.0,26133.0,26133.0
Broadmeadows,3996.0,7005.0,2765.0,290.0,14216.0,4210.0,727.0,19232.0,372.0,370.0,177.0,21.0,1010.0,906.0,48.0,2037.0,1117.0,1207.0,394.0,83.0,2887.0,983.0,259.0,4155.0,1519.0,1616.0,604.0,114.0,3878.0,1888.0,342.0,6193.0,283.0,316.0,171.0,25.0,869.0,551.0,85.0,1502.0,22.0,6.0,0.0,0.0,35.0,27.0,4.0,70.0,3.0,17.0,17.0,0.0,41.0,40.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,9.0,297.0,355.0,191.0,25.0,949.0,622.0,93.0,1659.0,0.0,0.0,0.0,0.0,3.0,39.0,0.0,46.0,4.0,0.0,0.0,0.0,5.0,57.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,11.0,0.0,19.0,4.0,0.0,3.0,0.0,11.0,110.0,0.0,129.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,15.0,5850.0,9051.0,3670.0,464.0,19187.0,6932.0,1215.0,27312.0,27312.0
Brunswick,2086.0,2628.0,712.0,93.0,5666.0,1650.0,1075.0,8358.0,1891.0,1118.0,342.0,61.0,3480.0,1878.0,980.0,6375.0,1253.0,861.0,290.0,47.0,2489.0,991.0,770.0,4224.0,3120.0,2075.0,632.0,122.0,5997.0,2842.0,1741.0,10668.0,693.0,195.0,107.0,32.0,1129.0,1748.0,274.0,3186.0,484.0,94.0,90.0,9.0,772.0,1095.0,191.0,2057.0,1349.0,271.0,166.0,54.0,1852.0,2382.0,388.0,4631.0,239.0,36.0,32.0,14.0,315.0,543.0,87.0,961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2801.0,647.0,426.0,125.0,4040.0,5788.0,984.0,10815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,11.0,0.0,0.0,91.0,60.0,69.0,258.0,44.0,11.0,0.0,0.0,91.0,60.0,69.0,261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8120.0,5410.0,1851.0,462.0,15838.0,10348.0,3970.0,30195.0,30195.0
