district,SH_FHs_CF_no_C_n,SH_FHs_CF_C_n,SH_FHs_OnePF_n,SH_FHs_Oth_fam_n,SH_FHs_Tot_n,SH_Lone_P_H_n,SH_Group_H_n,SH_Tot_n,SDRTHT_1_S_FHs_CF_no_C_n,SDRTHT_1_S_FHs_CF_C_n,SDRTHT_1_S_FHs_OnePF_n,SDRTHT_1_S_FHs_Oth_fam_n,SDRTHT_1_S_FHs_Tot_n,SDRTHT_1_S_Lone_P_H_n,SDRTHT_1_S_Group_H_n,SDRTHT_1_S_Tot_n,SDRTHT_2more_S_FHs_CF_no_C_n,SDRTHT_2more_S_FHs_CF_C_n,SDRTHT_2more_S_FHs_OnePF_n,SDRTHT_2more_S_FHs_Oth_fam_n,SDRTHT_2more_S_FHs_Tot_n,SDRTHT_2more_S_Lone_P_H_n,SDRTHT_2more_S_Group_H_n,SDRTHT_2more_S_Tot_n,SDRTHT_Tot_FHs_CF_no_C_n,SDRTHT_Tot_FHs_CF_C_n,SDRTHT_Tot_FHs_OnePF_n,SDRTHT_Tot_FHs_Oth_fam_n,SDRTHT_Tot_FHs_Tot_n,SDRTHT_Tot_Lone_P_H_n,SDRTHT_Tot_Group_H_n,SDRTHT_Tot_Tot_n,FoA_1_or_2_SB_FHs_CF_no_C_n,FoA_1_or_2_SB_FHs_CF_C_n,FoA_1_or_2_SB_FHs_OnePF_n,FoA_1_or_2_SB_FHs_Oth_fam_n,FoA_1_or_2_SB_FHs_Tot_n,FoA_1_or_2_SB_Lone_P_H_n,FoA_1_or_2_SB_Group_H_n,FoA_1_or_2_SB_Tot_n,FoA_3SB_FHs_CF_no_C_n,FoA_3SB_FHs_CF_C_n,FoA_3SB_FHs_OnePF_n,FoA_3SB_FHs_Oth_fam_n,FoA_3SB_FHs_Tot_n,FoA_3SB_Lone_P_H_n,FoA_3SB_Group_H_n,FoA_3SB_Tot_n,FoA_4_to_8_SB_FHs_CF_no_C_n,FoA_4_to_8_SB_FHs_CF_C_n,FoA_4_to_8_SB_FHs_OnePF_n,FoA_4_to_8_SB_FHs_Oth_fam_n,FoA_4_to_8_SB_FHs_Tot_n,FoA_4_to_8_SB_Lone_P_H_n,FoA_4_to_8_SB_Group_H_n,FoA_4_to_8_SB_Tot_n,FoA_9moSB_FHs_CF_no_C_n,FoA_9moSB_FHs_CF_C_n,FoA_9moSB_FHs_OnePF_n,FoA_9moSB_FHs_Oth_fam_n,FoA_9moSB_FHs_Tot_n,FoA_9moSB_Lone_P_H_n,FoA_9moSB_Group_H_n,FoA_9moSB_Tot_n,FoA_Att_to_hous_FHs_CF_no_C_n,FoA_Att_to_hous_FHs_CF_C_n,FoA_Att_to_hous_FHs_OnePF_n,FoA_Att_to_hous_FHs_Oth_fam_n,FoA_Att_to_hous_FHs_Tot_n,FoA_Att_to_hous_Lone_P_H_n,FoA_Att_to_hous_Group_H_n,FoA_Att_to_hous_Tot_n,FoA_Tot_FHs_CF_no_C_n,FoA_Tot_FHs_CF_C_n,FoA_Tot_FHs_OnePF_n,FoA_Tot_FHs_Oth_fam_n,FoA_Tot_FHs_Tot_n,FoA_Tot_Lone_P_H_n,FoA_Tot_Group_H_n,FoA_Tot_Tot_n,OD_C_FHs_CF_no_C_n,OD_C_FHs_CF_C_n,OD_C_FHs_OnePF_n,OD_C_FHs_Oth_fam_n,OD_C_FHs_Tot_n,OD_C_Lone_P_H_n,OD_C_Group_H_n,OD_C_Tot_n,OD_CH_FHs_CF_no_C_n,OD_CH_FHs_CF_C_n,OD_CH_FHs_OnePF_n,OD_CH_FHs_Oth_fam_n,OD_CH_FHs_Tot_n,OD_CH_Lone_P_H_n,OD_CH_Group_H_n,OD_CH_Tot_n,OD_Imp_home_T_SO_FHs_CF_no_C_n,OD_Imp_home_T_SO_FHs_CF_C_n,OD_Imp_home_T_SO_FHs_OnePF_n,OD_Imp_home_T_SO_FHs_Oth_fam_n,OD_Imp_home_T_SO_FHs_Tot_n,OD_Imp_home_T_SO_Lone_P_H_n,OD_Imp_home_T_SO_Group_H_n,OD_Imp_home_T_SO_Tot_n,OD_HorF_at_to_S_O_FHs_CF_no_C_n,OD_HorF_at_to_S_O_FHs_CF_C_n,OD_HorF_at_to_S_O_FHs_OnePF_n,OD_HorF_at_to_S_O_FHs_Oth_fam_n,OD_HorF_at_to_S_O_FHs_Tot_n,OD_HorF_at_to_S_O_Lone_P_H_n,OD_HorF_at_to_S_O_Group_H_n,OD_HorF_at_to_S_O_Tot_n,OD_Tot_FHs_CF_no_C_n,OD_Tot_FHs_CF_C_n,OD_Tot_FHs_OnePF_n,OD_Tot_FHs_Oth_fam_n,OD_Tot_FHs_Tot_n,OD_Tot_Lone_P_H_n,OD_Tot_Group_H_n,OD_Tot_Tot_n,DS_NS_FHs_CF_no_C_n,DS_NS_FHs_CF_C_n,DS_NS_FHs_OnePF_n,DS_NS_FHs_Oth_fam_n,DS_NS_FHs_Tot_n,DS_NS_Lone_P_H_n,DS_NS_Group_H_n,DS_NS_Tot_n,Tot_FHs_CF_no_C_n,Tot_FHs_CF_C_n,Tot_FHs_OnePF_n,Tot_FHs_Oth_fam_n,Tot_FHs_Tot_n,Tot_Lone_P_H_n,Tot_Group_H_n,Tot_Tot_n,Tot_Tot_total
Bulleen,5375.0,7909.0,2037.0,164.0,15585.0,3081.0,342.0,19038.0,356.0,241.0,136.0,8.0,860.0,669.0,12.0,1582.0,850.0,1182.0,363.0,23.0,2552.0,516.0,68.0,3148.0,1246.0,1536.0,539.0,34.0,3412.0,1188.0,81.0,4700.0,145.0,81.0,52.0,0.0,324.0,327.0,6.0,651.0,105.0,50.0,21.0,8.0,207.0,225.0,3.0,431.0,361.0,136.0,102.0,12.0,630.0,500.0,47.0,1171.0,406.0,173.0,143.0,18.0,732.0,542.0,43.0,1322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1046.0,443.0,344.0,46.0,1889.0,1578.0,99.0,3616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,7.0,0.0,9.0,5.0,0.0,14.0,7722.0,9958.0,2994.0,300.0,20858.0,5911.0,610.0,27380.0,27380.0
Bundoora,5348.0,7968.0,2350.0,212.0,15998.0,3779.0,744.0,20547.0,327.0,235.0,174.0,4.0,771.0,819.0,60.0,1722.0,475.0,440.0,199.0,23.0,1138.0,489.0,149.0,1828.0,818.0,701.0,375.0,39.0,1991.0,1308.0,228.0,3560.0,69.0,52.0,38.0,14.0,195.0,224.0,30.0,438.0,85.0,8.0,28.0,12.0,145.0,225.0,40.0,423.0,78.0,13.0,45.0,5.0,159.0,257.0,43.0,438.0,18.0,4.0,5.0,8.0,33.0,36.0,6.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,84.0,111.0,29.0,536.0,738.0,127.0,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6447.0,8814.0,2849.0,299.0,18537.0,5932.0,1087.0,25517.0,25517.0
Carrum,4872.0,8511.0,2615.0,160.0,16241.0,3698.0,525.0,20477.0,645.0,477.0,418.0,11.0,1648.0,1448.0,86.0,3184.0,714.0,500.0,324.0,14.0,1609.0,745.0,58.0,2425.0,1454.0,997.0,751.0,31.0,3222.0,2186.0,155.0,5656.0,141.0,74.0,31.0,0.0,281.0,458.0,19.0,738.0,40.0,15.0,17.0,0.0,79.0,80.0,4.0,159.0,18.0,3.0,21.0,0.0,43.0,73.0,5.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,210.0,94.0,70.0,0.0,408.0,610.0,27.0,1020.0,4.0,0.0,0.0,0.0,5.0,18.0,0.0,27.0,21.0,3.0,10.0,0.0,34.0,158.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,4.0,24.0,3.0,8.0,0.0,44.0,173.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,6523.0,9661.0,3487.0,224.0,19955.0,6726.0,710.0,27429.0,27429.0
Caulfield,2619.0,4556.0,739.0,46.0,8067.0,1494.0,331.0,9903.0,1110.0,1177.0,344.0,14.0,2743.0,1393.0,181.0,4350.0,835.0,927.0,267.0,4.0,2102.0,611.0,183.0,2977.0,1957.0,2086.0,593.0,22.0,4836.0,2125.0,381.0,7391.0,1238.0,571.0,310.0,22.0,2236.0,2971.0,465.0,5725.0,1084.0,322.0,168.0,49.0,1740.0,1969.0,366.0,4066.0,486.0,107.0,64.0,23.0,674.0,690.0,150.0,1505.0,120.0,16.0,10.0,8.0,163.0,207.0,37.0,402.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,15.0,2947.0,1043.0,597.0,131.0,4776.0,5871.0,1037.0,11732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,4.0,9.0,0.0,51.0,74.0,13.0,154.0,36.0,4.0,9.0,0.0,51.0,74.0,13.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7647.0,7797.0,2071.0,278.0,17698.0,9519.0,1939.0,29317.0,29317.0
Clarinda,4559.0,8079.0,2567.0,249.0,15582.0,3210.0,548.0,19300.0,606.0,585.0,304.0,12.0,1668.0,1160.0,119.0,3003.0,334.0,489.0,150.0,17.0,1035.0,163.0,86.0,1375.0,974.0,1093.0,479.0,45.0,2664.0,1381.0,223.0,4383.0,219.0,229.0,116.0,13.0,624.0,444.0,64.0,1178.0,54.0,28.0,11.0,4.0,98.0,72.0,17.0,184.0,53.0,18.0,23.0,0.0,105.0,97.0,14.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,285.0,155.0,13.0,840.0,614.0,98.0,1578.0,0.0,0.0,0.0,0.0,10.0,38.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,7.0,13.0,0.0,27.0,7.0,0.0,0.0,0.0,15.0,70.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5945.0,9578.0,3220.0,369.0,19176.0,5243.0,923.0,25372.0,25372.0
Cranbourne,4777.0,11624.0,3041.0,236.0,19641.0,3213.0,540.0,23481.0,648.0,631.0,301.0,19.0,1636.0,966.0,30.0,2710.0,105.0,132.0,87.0,0.0,345.0,127.0,26.0,551.0,768.0,771.0,394.0,19.0,2023.0,1113.0,60.0,3249.0,157.0,28.0,45.0,4.0,241.0,215.0,19.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,28.0,45.0,4.0,241.0,215.0,19.0,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,7.0,0.0,0.0,11.0,0.0,0.0,15.0,5774.0,12468.0,3487.0,277.0,21960.0,4557.0,623.0,27260.0,27260.0
Croydon,6412.0,8718.0,2951.0,176.0,18315.0,5537.0,521.0,24440.0,411.0,354.0,206.0,12.0,1049.0,1060.0,40.0,2228.0,185.0,186.0,161.0,3.0,621.0,274.0,18.0,927.0,623.0,553.0,364.0,18.0,1667.0,1347.0,59.0,3138.0,58.0,29.0,39.0,0.0,131.0,147.0,0.0,292.0,40.0,19.0,42.0,0.0,104.0,172.0,12.0,272.0,24.0,3.0,12.0,0.0,43.0,65.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,51.0,94.0,0.0,273.0,378.0,15.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,7242.0,9338.0,3473.0,226.0,20294.0,7339.0,663.0,28355.0,28355.0
Dandenong,4246.0,7540.0,3005.0,335.0,15132.0,3733.0,1085.0,19967.0,745.0,998.0,523.0,56.0,2371.0,1726.0,201.0,4339.0,488.0,761.0,281.0,36.0,1681.0,373.0,143.0,2244.0,1237.0,1812.0,816.0,113.0,4080.0,2168.0,403.0,6635.0,429.0,423.0,252.0,25.0,1184.0,918.0,130.0,2273.0,63.0,43.0,27.0,0.0,164.0,167.0,16.0,337.0,80.0,46.0,52.0,3.0,169.0,168.0,25.0,353.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,563.0,525.0,328.0,36.0,1547.0,1236.0,172.0,2986.0,3.0,0.0,0.0,0.0,6.0,21.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,7.0,0.0,17.0,3.0,4.0,5.0,0.0,15.0,44.0,0.0,59.0,0.0,3.0,3.0,0.0,6.0,10.0,0.0,23.0,6124.0,9926.0,4157.0,566.0,20774.0,7263.0,1629.0,29731.0,29731.0
Eildon,7527.0,6967.0,2404.0,92.0,17053.0,5604.0,503.0,23295.0,103.0,30.0,65.0,0.0,214.0,437.0,3.0,684.0,13.0,3.0,7.0,0.0,31.0,19.0,0.0,57.0,113.0,44.0,91.0,0.0,259.0,471.0,7.0,751.0,0.0,5.0,0.0,0.0,23.0,61.0,0.0,81.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,9.0,0.0,0.0,35.0,66.0,0.0,103.0,3.0,0.0,0.0,0.0,3.0,46.0,0.0,44.0,34.0,0.0,0.0,0.0,48.0,159.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,33.0,8.0,0.0,0.0,52.0,210.0,0.0,263.0,7.0,0.0,0.0,0.0,18.0,4.0,0.0,23.0,7728.0,7067.0,2524.0,102.0,17503.0,6330.0,525.0,24502.0,24502.0
Eltham,5834.0,9526.0,1958.0,83.0,17467.0,3020.0,165.0,20602.0,188.0,104.0,114.0,0.0,416.0,540.0,11.0,973.0,149.0,183.0,115.0,5.0,517.0,209.0,8.0,749.0,354.0,295.0,247.0,5.0,967.0,729.0,19.0,1715.0,111.0,76.0,86.0,6.0,294.0,274.0,0.0,565.0,4.0,0.0,3.0,0.0,19.0,60.0,0.0,81.0,10.0,0.0,4.0,0.0,12.0,18.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,80.0,97.0,6.0,327.0,362.0,0.0,687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,6323.0,9935.0,2312.0,99.0,18801.0,4105.0,211.0,23126.0,23126.0
Essendon,3086.0,5768.0,1045.0,109.0,10134.0,2120.0,394.0,12742.0,672.0,575.0,173.0,12.0,1473.0,780.0,108.0,2371.0,842.0,798.0,251.0,18.0,2025.0,805.0,213.0,3073.0,1479.0,1423.0,445.0,37.0,3475.0,1646.0,372.0,5517.0,603.0,293.0,193.0,44.0,1183.0,1464.0,156.0,2893.0,456.0,153.0,199.0,25.0,895.0,1588.0,182.0,2706.0,999.0,228.0,149.0,61.0,1482.0,1945.0,217.0,3664.0,146.0,115.0,182.0,31.0,499.0,525.0,53.0,1084.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2251.0,875.0,752.0,183.0,4087.0,5517.0,603.0,10258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,36.0,30.0,10.0,81.0,10.0,0.0,0.0,0.0,36.0,30.0,10.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6902.0,8084.0,2333.0,413.0,17758.0,9393.0,1475.0,28589.0,28589.0
Eureka,7312.0,8381.0,2905.0,142.0,18788.0,5671.0,727.0,25130.0,310.0,133.0,155.0,8.0,696.0,996.0,52.0,1800.0,36.0,7.0,40.0,4.0,107.0,94.0,3.0,223.0,378.0,165.0,206.0,11.0,795.0,1067.0,60.0,2040.0,46.0,0.0,24.0,4.0,70.0,220.0,8.0,303.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,24.0,4.0,70.0,252.0,8.0,339.0,4.0,0.0,0.0,0.0,7.0,13.0,0.0,28.0,9.0,0.0,0.0,0.0,11.0,15.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,9.0,16.0,0.0,0.0,3.0,18.0,27.0,0.0,72.0,0.0,3.0,0.0,0.0,7.0,3.0,0.0,16.0,7736.0,8578.0,3116.0,191.0,19785.0,7085.0,821.0,27658.0,27658.0
Euroa,7877.0,6091.0,2683.0,174.0,16936.0,6608.0,572.0,24087.0,267.0,37.0,85.0,0.0,445.0,1046.0,18.0,1548.0,18.0,0.0,6.0,0.0,25.0,11.0,0.0,43.0,280.0,37.0,94.0,0.0,488.0,1057.0,18.0,1589.0,5.0,0.0,10.0,0.0,20.0,23.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,4.0,10.0,0.0,24.0,23.0,0.0,47.0,8.0,0.0,0.0,0.0,18.0,77.0,8.0,124.0,12.0,0.0,0.0,0.0,27.0,59.0,0.0,80.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0,6.0,3.0,0.0,27.0,28.0,10.0,0.0,0.0,62.0,153.0,8.0,235.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,13.0,8271.0,6179.0,2789.0,173.0,17523.0,7859.0,649.0,26067.0,26067.0
Evelyn,6278.0,9437.0,2386.0,141.0,18311.0,3667.0,387.0,22376.0,187.0,51.0,88.0,3.0,371.0,616.0,14.0,1035.0,169.0,44.0,59.0,4.0,274.0,173.0,9.0,449.0,349.0,103.0,143.0,3.0,664.0,789.0,31.0,1489.0,22.0,13.0,0.0,0.0,32.0,65.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,9.0,0.0,20.0,26.0,13.0,0.0,0.0,36.0,74.0,0.0,117.0,11.0,0.0,0.0,0.0,14.0,45.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,5.0,11.0,3.0,0.0,0.0,19.0,45.0,0.0,63.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,6699.0,9563.0,2618.0,169.0,19072.0,4623.0,426.0,24141.0,24141.0
Footscray,3622.0,5346.0,1470.0,232.0,10616.0,2674.0,1028.0,14391.0,365.0,217.0,124.0,8.0,842.0,770.0,101.0,1691.0,1317.0,1181.0,426.0,41.0,3118.0,1001.0,309.0,4558.0,1731.0,1461.0,571.0,65.0,4007.0,1744.0,455.0,6293.0,555.0,295.0,187.0,36.0,1158.0,1415.0,227.0,2837.0,423.0,150.0,74.0,33.0,672.0,863.0,139.0,1706.0,597.0,179.0,107.0,34.0,953.0,1168.0,140.0,2282.0,389.0,93.0,64.0,31.0,572.0,755.0,93.0,1430.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,21.0,1983.0,756.0,442.0,158.0,3425.0,4249.0,638.0,8335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,15.0,10.0,0.0,79.0,48.0,9.0,148.0,34.0,15.0,10.0,0.0,79.0,48.0,9.0,148.0,3.0,0.0,0.0,0.0,9.0,10.0,0.0,29.0,7351.0,7689.0,2626.0,509.0,18153.0,8787.0,2159.0,29149.0,29149.0
Frankston,5205.0,6393.0,3192.0,223.0,15053.0,5032.0,703.0,20801.0,643.0,195.0,381.0,22.0,1347.0,2370.0,98.0,3866.0,231.0,178.0,168.0,4.0,652.0,444.0,42.0,1256.0,924.0,399.0,604.0,43.0,1975.0,2863.0,155.0,5101.0,134.0,44.0,82.0,6.0,259.0,574.0,30.0,885.0,27.0,8.0,14.0,0.0,46.0,79.0,7.0,131.0,23.0,0.0,12.0,0.0,40.0,61.0,3.0,116.0,0.0,0.0,6.0,0.0,3.0,23.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,58.0,113.0,6.0,342.0,733.0,44.0,1152.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,8.0,0.0,0.0,0.0,6.0,56.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,9.0,0.0,11.0,10.0,0.0,0.0,0.0,13.0,71.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,20.0,6373.0,6850.0,3923.0,299.0,17536.0,8765.0,912.0,27190.0,27190.0
Geelong,6180.0,7103.0,2525.0,150.0,16104.0,5649.0,936.0,22651.0,516.0,209.0,186.0,11.0,1086.0,2064.0,119.0,3276.0,194.0,108.0,78.0,7.0,493.0,316.0,81.0,925.0,773.0,341.0,271.0,22.0,1601.0,2375.0,208.0,4182.0,215.0,57.0,48.0,0.0,400.0,799.0,45.0,1261.0,14.0,0.0,3.0,0.0,43.0,101.0,11.0,145.0,68.0,18.0,15.0,4.0,94.0,182.0,20.0,298.0,57.0,4.0,4.0,5.0,68.0,59.0,7.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,368.0,91.0,71.0,12.0,593.0,1137.0,78.0,1850.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,8.0,22.0,0.0,9.0,0.0,45.0,133.0,6.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,9.0,11.0,40.0,29.0,4.0,9.0,0.0,58.0,154.0,17.0,253.0,7.0,0.0,0.0,0.0,17.0,24.0,5.0,40.0,7421.0,7586.0,3077.0,237.0,18332.0,9459.0,1328.0,29086.0,29086.0
Gippsland East,8428.0,5519.0,2308.0,111.0,16400.0,6487.0,498.0,23458.0,195.0,41.0,47.0,0.0,348.0,799.0,19.0,1228.0,26.0,11.0,4.0,0.0,49.0,43.0,4.0,114.0,224.0,46.0,69.0,0.0,388.0,848.0,24.0,1348.0,43.0,0.0,9.0,0.0,73.0,259.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,51.0,0.0,9.0,0.0,85.0,273.0,0.0,364.0,12.0,0.0,0.0,0.0,16.0,65.0,0.0,98.0,41.0,0.0,4.0,0.0,56.0,96.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,15.0,0.0,32.0,70.0,7.0,8.0,0.0,97.0,182.0,3.0,305.0,12.0,8.0,4.0,0.0,23.0,14.0,0.0,36.0,8868.0,5641.0,2444.0,118.0,17122.0,7870.0,546.0,25531.0,25531.0
